SEOUL_AREA_CD,SEOUL_AREA_NM,TOUR_CONTENT_ID,TOUR_CONTENT_NM
POI004,이태원 관광특구,126999,이태원 관광특구
POI005,잠실 관광특구,2390484,잠실 관광특구 코스
POI007,홍대 관광특구,3082405,홍대걷고싶은거리
POI002,동대문 관광특구,2470006,동대문디자인플라자(DDP)
POI001,강남 MICE 관광특구,2456536,강남 마이스 관광특구
POI003,명동 관광특구,1957600,명동 남대문 북창동 다동무교동 관광특구
POI010,보신각,126516,보신각터
POI008,경복궁,2648460,경복궁 별빛야행
POI011,서울 암사동 유적,126519,서울 암사동 유적
POI009,광화문·덕수궁,126512,광화문
POI006,종로·청계 관광특구,3094138,샤오바오우육면 종로본점
POI012,창덕궁·종묘,1604941,창덕궁 낙선재
POI017,고속터미널역,132492,고투몰(강남터미널 지하쇼핑몰)
POI013,가산디지털단지역,2924339,올리브영 가산디지털단지역점
POI016,고덕역,2907530,올리브영 고덕점
POI014,강남역,3383832,케미스트릿 강남역 페스티벌
POI015,건대입구역,4008823,건대입구역1번출구약국
POI018,교대역,4013050,정관장 교대역점
POI019,구로디지털단지역,3307273,올리브영 구로디지털단지역점
POI020,구로역,3305737,헤지스종합관 NC 신구로점
POI024,동대문역,1906334,동대문역사문화공원
POI023,대림역,2037026,대림중앙시장
POI021,군자역,2930912,올리브영 군자역점
POI027,발산역,4008169,다비치안경 발산역점
POI031,서울대입구역,3306647,ABC마트 ST 서울대입구역점
POI032,서울식물원·마곡나루역,2589349,서울식물원
POI030,삼각지역,130431,전쟁기념관
POI029,사당역,2918269,올리브영 사당역점
POI026,미아사거리역,4026771,JAJU 미아사거리역점
POI025,뚝섬역,4025740,다이소 뚝섬역점
POI033,서울역,130361,서울역사박물관
POI037,신논현역·논현역,3305302,올리브영 신논현역점
POI036,수유역,4026769,세컨아이즈 수유역점
POI038,신도림역,3307250,정관장 신도림역점
POI034,선릉역,2906647,올리브영 선릉역점
POI039,신림역,2909517,올리브영 신림역점
POI042,역삼역,2911908,올리브영 역삼역점
POI035,성신여대입구역,3306806,올리브영 성신여대입구역점
POI044,오목교역·목동운동장,131434,목동사격장
POI040,신촌·이대역,3023167,브라운스위트 신촌센트럴
POI043,연신내역,2925802,ABC마트 ST 연신내역점
POI041,양재역,4025615,으뜸50안경 양재역점
POI048,장지역,2924746,올리브영 현대아울렛 가든파이브점
POI047,이태원역,2910593,러쉬 이태원역점
POI050,천호역,4027140,롯데하이마트 천호역점
POI051,총신대입구(이수)역,4027111,아트박스 이수역점
POI053,합정역,3076199,NOL 씨어터 합정
POI046,용산역,2758150,용산역광장
POI049,장한평역,2907221,올리브영 장한평역점
POI052,충정로역,250330,서울 약현성당
POI054,혜화역,3306639,올리브영 혜화역점
POI056,회기역,4008866,365회기역약국
POI055,홍대입구역(2호선),2911133,올리브영 홍대입구역점
POI059,가로수길,987720,신사동 가로수길
POI058,가락시장,4009200,올리브영 가락시장역점
POI063,노량진,132216,노량진수산물도매시장
POI061,김포공항,1535690,롯데몰 김포공항점
POI060,광장(전통)시장,132183,광장시장
POI064,덕수궁길·정동길,2778454,정동길
POI066,북촌한옥마을,126537,북촌한옥마을
POI045,왕십리역,2910272,엔터식스 왕십리역점
POI070,쌍문역,4011885,올리브영 쌍문역점
POI068,성수카페거리,2930901,성수동 카페거리
POI067,서촌,3097714,서촌라운지
POI072,여의도,1327006,메리어트 이그제큐티브 아파트먼트 서울 여의도
POI071,압구정로데오거리,126823,압구정 로데오거리
POI073,연남동,2500201,연남동 공방거리
POI076,용리단길,2773303,아모레퍼시픽미술관
POI078,인사동,2392535,다이나믹 메이즈 인사동
POI077,이태원 앤틱가구거리,1019182,이태원 앤틱 가구거리
POI074,영등포 타임스퀘어,3305278,올리브영 영등포타임스퀘어점
POI079,창동 신경제 중심지,,수동으로 찾아주세요
POI081,청량리 제기동 일대 전통시장,948730,경동시장
POI080,청담동 명품거리,1310950,청담패션거리
POI086,고척돔,2591873,고척 스카이돔
POI083,DDP(동대문디자인플라자),2470006,동대문디자인플라자(DDP)
POI082,해방촌·경리단길,2385683,서울 해방촌의 이국적인 맛집을 찾아서
POI084,DMC(디지털미디어시티),3082446,키즈돌핀 서대문DMC점
POI087,광나루한강공원,250252,광나루한강공원
POI088,광화문광장,775394,광화문광장
POI089,국립중앙박물관·용산가족공원,1604580,국립중앙박물관 전통염료식물원
POI090,난지한강공원,127859,난지한강공원
POI092,노들섬,2638475,노들섬
POI091,남산공원,126485,남산공원(서울)
POI095,반포한강공원,970138,반포한강공원
POI096,북서울꿈의숲,822384,북서울꿈의숲
POI093,뚝섬한강공원,1030763,뚝섬한강공원
POI094,망원한강공원,1059638,망원한강공원
POI100,서울대공원,126712,서울대공원
POI098,서리풀공원·몽마르뜨공원,2773409,서리풀공원
POI085,강서한강공원,2733968,강서한강공원
POI101,서울숲공원,128611,서울숲
POI102,아차산,742972,아차산 어울림정원
POI103,양화한강공원,1059877,양화한강공원
POI104,어린이대공원,126490,서울어린이대공원
